number,country,first,last,participants,sports,gold,silver,bronze,total,first_winter,last_winter,participants_winter,sports_winter,gold_winter,silver_winter,bronze_winter,old_total_winter,athlete,still_in_use,2018_g,2018_s,2018_b,2018_t,g_w,s_w,b_w,new_total_winter,2018_participants,total_participants_w,now_compete_as,true_false_2018,new_last_winter
105, Kosovo,2016,2016,8,5,1,0,0,1,2018,0,0,0,0,0,0,0,Majlinda Kelmendi (1 medal),Yes,,,,0,0,0,0,0,35,35,,TRUE,2018
106, Kuwait,1968,2012,192,13,0,0,2,2,0,0,0,0,0,0,0,0,Fehaid Al-Deehani (2 medals),Yes,,,,0,0,0,0,0,,0,,FALSE,0
107, Kyrgyzstan,1996,2016,122,13,0,1,2,3,1994,2014,7,4,0,0,0,0,3 athletes with 1 medal,Yes,,,,0,0,0,0,0,1,8,,TRUE,2018
108, Laos,1980,2016,47,7,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,2,2,,TRUE,2018
109, Latvia,1924,2016,253,20,3,11,5,19,1924,2014,194,12,0,4,3,7,Andris Šics and Juris Šics (3 medals),Yes,0,0,1,1,0,4,4,8,34,228,,TRUE,2018
110, Lebanon,1948,2016,146,14,0,2,2,4,1948,2014,31,3,0,0,0,0,4 athletes with 1 medal,Yes,,,,0,0,0,0,0,3,34,,TRUE,2018
111, Lesotho,1972,2016,51,5,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
112, Liberia,1956,2016,42,2,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
113, Libya,1968,2016,68,10,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
114, Liechtenstein,1936,2016,52,8,0,0,0,0,1936,2014,80,4,2,2,5,9,Hanni Wenzel (4 medals),Yes,0,0,1,1,2,2,6,10,3,83,,TRUE,2018
115, Lithuania,1924,2016,294,19,6,6,13,25,1928,2014,26,6,0,0,0,0,Gintaras Einikis and Virgilijus Alekna (3 medals),Yes,,,,0,0,0,0,0,9,35,,TRUE,2018
116, Luxembourg,1900,2016,367,19,4,2,0,6,1928,2014,12,4,0,2,0,2,Marc Girardelli and Jean Jacoby (2 medals),Yes,,,,0,0,2,0,2,1,13,,TRUE,2018
117, Macedonia,1996,2016,37,6,0,0,1,1,1998,2014,10,2,0,0,0,0,Mogamed Ibragimov (1 medal),Yes,,,,0,0,0,0,0,3,13,,TRUE,2018
118, Madagascar,1964,2016,75,8,0,0,0,0,2006,2006,1,1,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,1,2,,TRUE,2018
119, Malawi,1972,2016,59,5,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
120, Malaya,1956,1960,40,5,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,No,,,,0,0,0,0,0,,0,Malaysia,FALSE,0
121, Malaysia,1964,2016,301,20,0,7,4,11,2018,0,0,0,0,0,0,0,Lee Chong Wei (3 medals),Yes,,,,0,0,0,0,0,2,2,,TRUE,2018
122, Maldives,1988,2016,31,3,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
123, Mali,1964,2016,75,7,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
124, Malta,1928,2016,81,10,0,0,0,0,2014,2014,1,1,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,1,2,,TRUE,2018
125, Marshall Islands,2008,2016,12,4,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
126, Mauritania,1984,2016,22,2,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
127, Mauritius,1984,2016,88,13,0,0,1,1,0,0,0,0,0,0,0,0,Bruno Julie (1 medal),Yes,,,,0,0,0,0,0,,0,,FALSE,0
128, Mexico,1900,2016,"1,519",32,13,24,29,66,1928,2014,32,5,0,0,0,0,Joaquín Capilla (4 medals),Yes,,,,0,0,0,0,0,4,36,,TRUE,2018
129, Moldova,1996,2016,116,12,0,2,5,7,1994,2014,15,4,0,0,0,0,8 athletes with 1 medal,Yes,,,,0,0,0,0,0,2,17,,TRUE,2018
130, Monaco,1920,2016,68,14,0,0,1,1,1984,2014,16,2,0,0,0,0,Julien Médecin (1 medal),Yes,,,,0,0,0,0,0,4,20,,TRUE,2018
131, Mongolia,1964,2016,253,11,2,10,14,26,1964,2014,39,4,0,0,0,0,Naidangiin Tüvshinbayar (2 medals),Yes,,,,0,0,0,0,0,2,41,,TRUE,2018
132, Montenegro,2008,2016,52,9,0,1,0,1,2010,2014,3,1,0,0,0,0,14 athletes with 1 medal,Yes,,,,0,0,0,0,0,3,6,,TRUE,2018
133, Morocco,1960,2016,436,21,6,5,12,23,1968,2014,24,2,0,0,0,0,Hicham El Guerrouj (3 medals),Yes,,,,0,0,0,0,0,2,26,,TRUE,2018
134, Mozambique,1980,2016,52,5,1,0,1,2,0,0,0,0,0,0,0,0,Maria Mutola (2 medals),Yes,,,,0,0,0,0,0,,0,,FALSE,0
135, Myanmar,1948,2016,86,11,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
136, Namibia,1992,2016,40,7,0,4,0,4,0,0,0,0,0,0,0,0,Frankie Fredericks (4 medals),Yes,,,,0,0,0,0,0,,0,,FALSE,0
137, Nauru,1996,2016,10,2,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
138, Nepal,1964,2016,77,8,0,0,0,0,1924,2014,3,2,0,0,0,0,Tejbir Bura (1 medal),Yes,,,,0,0,0,0,0,,3,,FALSE,2014
139, Netherlands,1900,2016,"2,729",35,87,95,113,295,1928,2014,214,8,37,38,35,110,Anky van Grunsven (9 medals),Yes,8,6,6,20,45,44,41,130,34,248,,TRUE,2018
