number,country,first,last,participants,sports,gold,silver,bronze,total,first_winter,last_winter,participants_winter,sports_winter,gold_winter,silver_winter,bronze_winter,old_total_winter,athlete,still_in_use,2018_g,2018_s,2018_b,2018_t,g_w,s_w,b_w,new_total_winter,2018_participants,total_participants_w,now_compete_as,true_false_2018,new_last_winter
209, Turkey,1906,2016,743,25,40,27,28,95,1936,2014,61,3,0,0,0,0,3 athletes with 3 medals,Yes,,,,0,0,0,0,0,8,69,,TRUE,2018
210, Turkmenistan,1996,2016,41,8,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
211, Tuvalu,2008,2016,6,2,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
212, Uganda,1956,2016,178,9,2,3,2,7,0,0,0,0,0,0,0,0,Leo Rwabwogo (2 medals),Yes,,,,0,0,0,0,0,,0,,FALSE,0
213, Ukraine,1996,2016,936,29,35,32,59,126,1994,2014,198,13,2,1,4,7,Yana Klochkova (5 medals),Yes,1,0,0,1,3,1,4,8,33,231,,TRUE,2018
214, Unified Team,1992,1992,475,27,45,38,29,112,1992,1992,129,12,9,6,8,23,Vitaly Shcherbo (6 medals) ,No,,,,0,9,6,8,23,,129,"Armenia, Azerbaijian, Belarus, Georgia, Kazakhstan, Kyrgyzstan, Russia, Moldova, Tajikistan, Turkmenistan, Ukraine and Uzbekistan",FALSE,1992
215, United Arab Emirates,1984,2016,78,10,1,0,1,2,0,0,0,0,0,0,0,0,Ahmed Al-Maktoum and Sergiu Toma (1 medal),Yes,,,,0,0,0,0,0,,0,,FALSE,0
216, United Arab Republic,1960,1960,74,12,0,1,1,2,0,0,0,0,0,0,0,0,Abdel Moneim El-Gindy and Osman El-Sayed (1 medal),No,,,,0,0,0,0,0,,0,Egypt and Syria,FALSE,0
217, United States,1896,2016,"7,967",45,1036,802,708,2546,1924,2014,"1,696",16,96,102,84,282,Michael Phelps (28 medals),Yes,9,8,6,23,105,110,90,305,241,1937,,TRUE,2018
218, United States Virgin Islands,1968,2016,125,10,0,1,0,1,1988,2014,26,3,0,0,0,0,Peter Holmberg (1 medal),Yes,,,,0,0,0,0,0,,26,,FALSE,2014
219, Uruguay,1924,2016,365,19,2,2,6,10,1998,1998,1,1,0,0,0,0,13 athletes with 2 medals,Yes,,,,0,0,0,0,0,,1,,FALSE,1998
220, Uzbekistan,1996,2016,274,17,9,7,17,33,1994,2014,21,3,1,0,0,1,Artur Taymazov (4 medals),Yes,,,,0,1,0,0,1,2,23,,TRUE,2018
221, Vanuatu,1988,2016,25,6,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
222, Venezuela,1932,2016,541,28,2,3,10,15,1998,2014,5,2,0,0,0,0,15 athletes with 1 medal,Yes,,,,0,0,0,0,0,,5,,FALSE,2014
223, Vietnam,1980,2016,104,15,1,3,0,4,0,0,0,0,0,0,0,0,Hoàng Xuân Vinh (2 medals),Yes,,,,0,0,0,0,0,,0,,FALSE,0
224, West Germany,1968,1988,"1,373",27,56,67,81,204,1968,1988,336,10,11,15,13,39,Reiner Klimke (7 medals),No,,,,0,11,15,13,39,,336,Germany,FALSE,1988
225, West Indies Federation,1960,1960,13,5,0,0,2,2,0,0,0,0,0,0,0,0,George Kerr (2 medals),No,,,,0,0,0,0,0,,0,"Jamaica, Barbados, Trinidad and Tobago",FALSE,0
226, Yemen,1992,2016,28,6,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
227, Yugoslavia,1920,1988,"1,035",25,26,29,28,83,1924,1992,235,10,0,3,1,4,Leon Štukelj (6 medals),No,,,,0,0,3,1,4,,235,"Serbia, Croatia, Slovenia, Bosnia and Herzegovina, Indpendent Olympic Athletes in 1992, Macedonia, Serbia and Montenegro and Kosovo",FALSE,1992
228, Zambia,1964,2016,145,8,0,1,1,2,0,0,0,0,0,0,0,0,Keith Mwila and Samuel Matete (1 medal),Yes,,,,0,0,0,0,0,,0,,FALSE,0
229, Zimbabwe,1928,2016,191,16,3,4,1,8,2014,2014,1,1,0,0,0,0,Kirsty Coventry (7 medals),Yes,,,,0,0,0,0,0,,1,,FALSE,2014
